15_min_interval,tag_bird,tag_insect,traffic,biophony,anthropophony,biophony.1,site
18:45:00,0.007326562,0.49977937,0.012749884,0.50042313,0.023527196,0.50042313,AM31
19:00:00,0.013032995,0.46880445,0.01583432,0.47061226,0.029722683,0.47061226,AM31
19:15:00,0.0062666694,0.5311425,0.012851253,0.535754,0.0320757,0.535754,AM31
19:30:00,0.0061656684,0.5972588,0.01199627,0.5993276,0.030063802,0.5993276,AM31
19:45:00,0.0069721784,0.63697,0.010574066,0.6415001,0.03100597,0.6415001,AM31
20:00:00,0.017683394,0.5819127,0.011297429,0.58473617,0.029334618,0.58473617,AM31
20:15:00,0.06796578,0.61778855,0.0103057,0.62683743,0.03043898,0.62683743,AM31
20:30:00,0.0348236,0.52074474,0.034375906,0.5209942,0.056618877,0.5209942,AM31
20:45:00,0.035795882,0.47213995,0.012887772,0.48235372,0.033151206,0.48235372,AM31
21:00:00,0.009652034,0.48656747,0.012962601,0.48732927,0.035492294,0.48732927,AM31
21:15:00,0.016570328,0.47780976,0.012594948,0.48114216,0.04202382,0.48114216,AM31
21:30:00,0.017474074,0.39542076,0.012929004,0.40301898,0.043435756,0.40301898,AM31
21:45:00,0.006881022,0.35433233,0.0137618985,0.3561118,0.0461637,0.3561118,AM31
22:00:00,0.009349484,0.26157665,0.018312378,0.26576856,0.048202347,0.26576856,AM31
22:15:00,0.01745126,0.309803,0.017486185,0.31239152,0.05607632,0.31239152,AM31
22:30:00,0.009939006,0.22036396,0.019980226,0.22399071,0.06270325,0.22399071,AM31
22:45:00,0.02591781,0.1894466,0.021273036,0.2121649,0.07869679,0.2121649,AM31
23:00:00,0.0046387315,0.14590243,0.020413844,0.14836298,0.11606808,0.14836298,AM31
23:15:00,0.022608267,0.18139173,0.019621998,0.20338252,0.10473306,0.20338252,AM31
23:30:00,0.00624126,0.10842733,0.02204496,0.115264505,0.09607883,0.115264505,AM31
23:45:00,0.0059919204,0.009351851,0.024161449,0.014048557,0.15588531,0.014048557,AM31
00:00:00,0.0128827635,0.09658508,0.03908622,0.09678813,0.054334387,0.09678813,L03
00:15:00,0.014540391,0.06368737,0.04134881,0.06380431,0.056726567,0.06380431,L03
00:30:00,0.014998989,0.07240516,0.04199657,0.072456695,0.052924305,0.072456695,L03
00:45:00,0.014237171,0.06487877,0.040737588,0.064959325,0.05904336,0.064959325,L03
01:00:00,0.01356353,0.064995475,0.042367224,0.06506699,0.06689085,0.06506699,L03
01:15:00,0.015165413,0.07359441,0.043538194,0.073682465,0.05941117,0.073682465,L03
01:30:00,0.014162519,0.049751762,0.04161227,0.049855795,0.055633534,0.049855795,L03
01:45:00,0.014452701,0.050242376,0.03972781,0.0502907,0.063824385,0.0502907,L03
02:00:00,0.013647801,0.04711102,0.041279867,0.047157627,0.066432044,0.047157627,L03
02:15:00,0.014108249,0.04466763,0.040709138,0.044888236,0.075223595,0.044888236,L03
02:30:00,0.013395124,0.04075604,0.040767297,0.040995978,0.08834409,0.040995978,L03
02:45:00,0.011480655,0.038856477,0.0391368,0.039112452,0.085870124,0.039112452,L03
03:00:00,0.012529894,0.034866832,0.040738612,0.035260227,0.09362286,0.035260227,L03
03:15:00,0.010386908,0.024013784,0.043572493,0.024812631,0.10850776,0.024812631,L03
03:30:00,0.007589037,0.014834421,0.0394407,0.015565854,0.118367165,0.015565854,L03
03:45:00,0.00578088,0.008037028,0.037623625,0.009115787,0.12720723,0.009115787,L03
04:00:00,0.023097772,0.016658418,0.036584392,0.02713276,0.10173859,0.02713276,L03
04:15:00,0.08731918,0.04421969,0.03496216,0.096678406,0.059274048,0.096678406,L03
04:30:00,0.056756563,0.038684506,0.045382462,0.067018054,0.085126385,0.067018054,L03
04:45:00,0.04440582,0.025145316,0.048153654,0.05157992,0.10763718,0.05157992,L03
05:00:00,0.0425006,0.047845967,0.050052565,0.059610453,0.09029767,0.059610453,L03
05:15:00,0.054559655,0.04092825,0.056130257,0.06737732,0.096416876,0.06737732,L03
05:30:00,0.03952614,0.035572704,0.0584802,0.049269326,0.10726913,0.049269326,L03
05:45:00,0.052272104,0.04136327,0.06627549,0.06514777,0.10734701,0.06514777,L03
06:00:00,0.060945597,0.046590175,0.07096619,0.07950166,0.08309046,0.07950166,L03
06:15:00,0.033481266,0.032588784,0.062425002,0.047376808,0.07541806,0.047376808,L03
06:30:00,0.010645692,0.01612757,0.07600602,0.020935543,0.08628771,0.020935543,L03
06:45:00,0.016708236,0.054615512,0.06810626,0.06059206,0.07351356,0.06059206,L03
